"Away"  "Draw"  "Home"
"1"  0.14  0.19  0.67
"2"  0.19  0.22  0.59
"3"  0.44  0.26  0.3
"4"  0.09  0.31  0.6
"5"  0.17  0.1  0.74
"6"  0.08  0.37  0.55
"7"  0.85  0.05  0.1
"8"  0.29  0.19  0.52
"9"  0.39  0.27  0.35
"10"  0.31  0.09  0.6
"11"  0.2  0.44  0.37
"12"  0.39  0.31  0.3
"13"  0  0.44  0.56
"14"  0.71  0.15  0.14
"15"  0.49  0  0.51
"16"  0.13  0.32  0.55
"17"  0.18  0.41  0.41
"18"  0  0  1
"19"  0.71  0.29  0
"20"  0.36  0.11  0.53
"21"  1  0  0
"22"  0.38  0.31  0.3
"23"  0.24  0.13  0.64
"24"  0.56  0.24  0.2
"25"  0.03  0.14  0.83
"26"  0.6  0  0.4
"27"  0.03  0.24  0.73
"28"  0.54  0.08  0.38
"29"  0.3  0.2  0.5
"30"  0.71  0.15  0.15
"31"  0.02  0.12  0.86
"32"  0.24  0.32  0.44
"33"  0.31  0.33  0.35
"34"  0.55  0.32  0.14
"35"  0.57  0.32  0.12
"36"  0.28  0.2  0.52
"37"  0.51  0.36  0.13
"38"  0.37  0.29  0.33
"39"  0.19  0.48  0.33
"40"  0.41  0.12  0.47
"41"  0.37  0.29  0.34
"42"  0.3  0.09  0.61
"43"  0.26  0.2  0.54
"44"  0.88  0.04  0.08
"45"  0.17  0.17  0.66
"46"  0.1  0.28  0.62
"47"  0.66  0.11  0.23
"48"  0.03  0.37  0.6
"49"  0.48  0.27  0.25
"50"  0.34  0.46  0.2
"51"  0.29  0.36  0.36
"52"  0.02  0.15  0.83
"53"  0.52  0.21  0.28
"54"  0.24  0.53  0.23
"55"  0.75  0.17  0.08
"56"  0.6  0.3  0.09
"57"  0.59  0.11  0.31
"58"  0.48  0.35  0.18
"59"  0.35  0.31  0.35
"60"  0.27  0.38  0.35
"61"  0.38  0.43  0.19
"62"  0.05  0.35  0.6
"63"  0.92  0.04  0.04
"64"  0.8  0.14  0.06
"65"  0.11  0.17  0.72
"66"  0.18  0.41  0.41
"67"  0.19  0.23  0.58
"68"  0.29  0.21  0.49
"69"  0.15  0.24  0.6
"70"  0.15  0.15  0.7
"71"  0.02  0.17  0.82
"72"  0.57  0.19  0.25
"73"  0.13  0.12  0.75
"74"  0.42  0.24  0.35
"75"  0.29  0.42  0.29
"76"  0.68  0.09  0.24
"77"  0.39  0.4  0.2
"78"  0.94  0.04  0.02
"79"  0.15  0.19  0.66
"80"  0.1  0.33  0.57
"81"  0.29  0.35  0.36
"82"  0.7  0.21  0.09
"83"  0.44  0.56  0
"84"  0.29  0.23  0.47
"85"  0.79  0.1  0.11
"86"  0.41  0.41  0.18
"87"  1  0  0
"88"  0.27  0.12  0.62
"89"  0.31  0.69  0
"90"  0.02  0.15  0.83
"91"  0.14  0.27  0.58
"92"  0.17  0.24  0.59
"93"  0.23  0.18  0.59
"94"  0.37  0.26  0.37
"95"  0.42  0.4  0.18
"96"  0.5  0.22  0.28
"97"  0.48  0.09  0.43
"98"  0.06  0.18  0.77
"99"  0.16  0.17  0.67
"100"  0.22  0.43  0.34
"101"  0.51  0.14  0.35
"102"  0.18  0.43  0.38
"103"  0.07  0.26  0.67
"104"  0.63  0.25  0.12
"105"  0.42  0.43  0.15
"106"  0.92  0.05  0.03
"107"  0.52  0.25  0.23
"108"  0.65  0.11  0.24
"109"  0.1  0.37  0.53
"110"  0.21  0.54  0.25
"111"  1  0  0
"112"  0.01  0.18  0.81
"113"  0.24  0.18  0.58
"114"  0.35  0.27  0.38
"115"  0.81  0.09  0.11
"116"  0.15  0.17  0.68
"117"  0.77  0.17  0.06
"118"  0.25  0.15  0.6
"119"  0.13  0.28  0.59
"120"  0.11  0.34  0.55
"121"  0.86  0.07  0.07
"122"  0  0.56  0.44
"123"  0.6  0.12  0.28
"124"  0.25  0.39  0.37
"125"  0.22  0.57  0.21
"126"  0.39  0.3  0.31
"127"  0.38  0.33  0.29
"128"  0.96  0.02  0.03
"129"  0.1  0.22  0.68
"130"  0.41  0.35  0.24
"131"  0.12  0.46  0.42
"132"  0.11  0.29  0.59
"133"  0.22  0.78  0
"134"  0.95  0.03  0.01
"135"  0.17  0.16  0.67
"136"  0.12  0.34  0.54
"137"  0.58  0.28  0.14
"138"  0.39  0.23  0.38
"139"  0.28  0.15  0.58
"140"  0.38  0.28  0.34
"141"  0.57  0.27  0.16
"142"  0.19  0.18  0.62
"143"  0.49  0.14  0.37
"144"  0.02  0.17  0.81
"145"  0.47  0.23  0.3
"146"  1  0  0
"147"  0.08  0.25  0.67
"148"  0.12  0.17  0.71
"149"  0.04  0.17  0.79
"150"  0.36  0.19  0.45
"151"  0.29  0.34  0.38
"152"  0.37  0.14  0.49
"153"  0.06  0.24  0.7
"154"  0.13  0.19  0.68
"155"  0.24  0.54  0.22
"156"  0.16  0.29  0.55
"157"  0.31  0.41  0.28
"158"  0.69  0.19  0.13
"159"  0.63  0.17  0.2
"160"  0.29  0.26  0.45
"161"  0.25  0.18  0.57
"162"  0.66  0.21  0.12
"163"  0.22  0.2  0.58
"164"  0.52  0.23  0.26
"165"  0.02  0.15  0.83
"166"  0.51  0.27  0.21
"167"  0.73  0.14  0.13
"168"  0.26  0.43  0.31
"169"  0.75  0.07  0.18
"170"  0.08  0.28  0.65
"171"  0.18  0.19  0.63
"172"  0.64  0.15  0.21
"173"  0.05  0.27  0.68
"174"  0.07  0.37  0.56
"175"  0.34  0.14  0.52
"176"  0.31  0.26  0.43
"177"  0.33  0.49  0.18
"178"  0.36  0.17  0.47
"179"  0.25  0.26  0.49
"180"  0.48  0.21  0.31
"181"  0.3  0.3  0.4
"182"  0.5  0.29  0.21
"183"  0.01  0.13  0.85
"184"  0.13  0.18  0.69
"185"  0.89  0.07  0.03
"186"  0.5  0.32  0.18
"187"  0.61  0.15  0.24
"188"  0.4  0.16  0.44
"189"  0.07  0.25  0.69
"190"  0.82  0.05  0.12
"191"  0.04  0.3  0.65
"192"  0.31  0.48  0.21
"193"  0.13  0.18  0.69
"194"  0.55  0.17  0.29
"195"  0.13  0.34  0.52
"196"  0.43  0.2  0.37
"197"  0.47  0.53  0
"198"  0.02  0.15  0.83
"199"  0.72  0.07  0.21
"200"  0.16  0.31  0.53
"201"  0.37  0.28  0.36
"202"  0.65  0.27  0.08
"203"  0.63  0.23  0.14
"204"  0.19  0.4  0.42
"205"  0.03  0.17  0.8
"206"  0.44  0.23  0.33
"207"  0.72  0.16  0.11
"208"  0.15  0.17  0.68
"209"  0.96  0.02  0.02
"210"  0.25  0.19  0.56
"211"  0.08  0.34  0.59
"212"  0.07  0.25  0.69
"213"  0.5  0.19  0.31
"214"  0.14  0.17  0.69
"215"  0.04  0.32  0.64
"216"  0.11  0.18  0.71
"217"  0.26  0.3  0.44
"218"  0.28  0.14  0.58
"219"  0.25  0.54  0.21
"220"  0.58  0.2  0.23
"221"  0.42  0.25  0.33
"222"  0.29  0.32  0.39
"223"  0.01  0.13  0.86
"224"  0.53  0.27  0.2
"225"  0.81  0.12  0.07
"226"  0.85  0.07  0.08
"227"  0.15  0.16  0.7
"228"  0.1  0.16  0.73
"229"  0.13  0.19  0.68
"230"  0.05  0.29  0.66
"231"  0.09  0.32  0.59
"232"  0.85  0.07  0.08
"233"  0.25  0.21  0.54
"234"  0.6  0.17  0.24
"235"  0.73  0.07  0.2
"236"  0.22  0  0.78
"237"  0.08  0  0.92
"238"  1  0  0
"239"  0  0  1
"240"  0.2  0  0.8
"241"  0.04  0.13  0.83
"242"  0.74  0.19  0.07
"243"  0.07  0.31  0.63
"244"  0.76  0  0.24
"245"  0.05  0  0.95
"246"  0  0.27  0.73
"247"  0.65  0  0.35
"248"  0  0  1
"249"  0.56  0  0.44
"250"  0.49  0.21  0.3
"251"  0  0  1
"252"  1  0  0
"253"  0  0.5  0.5
"254"  0  1  0
"255"  0.45  0  0.55
"256"  0.41  0  0.59
"257"  1  0  0
"258"  0.17  0.45  0.38
"259"  0  0  1
"260"  1  0  0
"261"  1  0  0
"262"  0.57  0.2  0.23
"263"  1  0  0
"264"  0  0  1
"265"  0.79  0.07  0.15
"266"  1  0  0
"267"  0.28  0  0.72
"268"  0  0  1
"269"  0  0.43  0.57
"270"  1  0  0
"271"  0.55  0  0.45
"272"  1  0  0
"273"  1  0  0
"274"  0  0  1
"275"  0.35  0  0.65
"276"  0  1  0
"277"  0  0  1
"278"  0.44  0  0.56
"279"  1  0  0
"280"  0.29  0  0.71
"281"  1  0  0
"282"  0  1  0
"283"  1  0  0
"284"  1  0  0
"285"  1  0  0
"286"  1  0  0
"287"  1  0  0
"288"  1  0  0
"289"  1  0  0
"290"  1  0  0
"291"  1  0  0
"292"  0.64  0  0.36
"293"  1  0  0
"294"  0.45  0  0.55
"295"  1  0  0
"296"  0.56  0.44  0
"297"  1  0  0
"298"  1  0  0
"299"  0  1  0
"300"  1  0  0
"301"  1  0  0
"302"  0  0.49  0.51
"303"  0  1  0
"304"  1  0  0
"305"  1  0  0
"306"  0.62  0  0.38
"307"  0.32  0  0.68
"308"  1  0  0
"309"  0.26  0  0.74
"310"  0.47  0  0.53
"311"  0.58  0  0.42
"312"  0  1  0
"313"  0.32  0.29  0.39
"314"  0.13  0  0.87
"315"  0  0.3  0.7
"316"  0.3  0.22  0.48
"317"  0.04  0.14  0.82
"318"  0.17  0.56  0.27
"319"  0.27  0.54  0.19
"320"  0.46  0.3  0.24
"321"  0.15  0.5  0.35
"322"  0.11  0.37  0.52
"323"  0.65  0.15  0.2
"324"  0.08  0.26  0.66
"325"  0.35  0.34  0.3
"326"  0.46  0  0.54
"327"  0.6  0  0.4
"328"  0  1  0
"329"  0.15  0  0.85
"330"  0.42  0  0.58
"331"  0  0.5  0.5
"332"  0.31  0.36  0.33
"333"  0.06  0.52  0.42
"334"  0.43  0.15  0.42
"335"  0.52  0.27  0.21
"336"  0.7  0.19  0.11
"337"  0.5  0.1  0.4
"338"  0.7  0.22  0.08
"339"  0.72  0.15  0.13
"340"  0.53  0.18  0.29
"341"  0.32  0  0.68
"342"  0.19  0.44  0.37
"343"  0  1  0
"344"  0.62  0.18  0.2
"345"  0.25  0  0.75
"346"  0.58  0.15  0.27
"347"  0.1  0.52  0.39
"348"  0.33  0.49  0.18
"349"  0.81  0.12  0.07
"350"  0.19  0.31  0.5
"351"  0.06  0.31  0.63
"352"  0.53  0.34  0.13
"353"  0.15  0.2  0.65
"354"  0.11  0.45  0.44
"355"  0.03  0.14  0.83
"356"  1  0  0
"357"  0.45  0.36  0.19
"358"  0.64  0.23  0.13
"359"  0.58  0.16  0.26
"360"  0.72  0.15  0.13
"361"  0.27  0.39  0.34
"362"  0.91  0.02  0.07
"363"  0.16  0.48  0.37
"364"  0.35  0.35  0.3
"365"  0.34  0.49  0.17
"366"  0.6  0  0.4
"367"  0.69  0.31  0
"368"  0.23  0.28  0.49
"369"  0.16  0.35  0.49
"370"  0.48  0  0.52
"371"  0.39  0.11  0.51
"372"  0.5  0.5  0
"373"  0.14  0.24  0.62
"374"  0.28  0.14  0.58
"375"  0.25  0.44  0.3
"376"  0.01  0.21  0.78
"377"  0.94  0  0.06
"378"  0.18  0  0.82
"379"  0.26  0.24  0.49
"380"  0.17  0  0.83
"381"  0.61  0.39  0
"382"  0.34  0.42  0.25
"383"  0.79  0.13  0.08
"384"  0.11  0.27  0.63
"385"  0.02  0.19  0.79
"386"  0.07  0.57  0.36
"387"  0.21  0.17  0.63
"388"  0.1  0.42  0.48
"389"  0.6  0.27  0.13
"390"  0.24  0.21  0.55
"391"  0.88  0.12  0
"392"  0.53  0.24  0.24
"393"  0.05  0.25  0.7
"394"  0.62  0.28  0.1
"395"  0.82  0  0.18
"396"  0.17  0.26  0.58
"397"  0.2  0.33  0.47
"398"  0.47  0.24  0.29
"399"  0.59  0  0.41
"400"  0.91  0  0.09
"401"  0.21  0  0.79
"402"  0.32  0  0.68
"403"  0.25  0.21  0.54
"404"  0.39  0.35  0.26
"405"  0.49  0  0.51
"406"  0.25  0.42  0.34
"407"  0.3  0.52  0.18
"408"  0.17  0.29  0.54
"409"  0.87  0.08  0.05
"410"  0.28  0.44  0.28
"411"  0.85  0.04  0.12
"412"  0.19  0.32  0.49
"413"  0.59  0.15  0.26
"414"  0.41  0.33  0.26
"415"  0.35  0.24  0.41
"416"  1  0  0
"417"  0.35  0.65  0
"418"  0.5  0.27  0.23
"419"  0.54  0.32  0.14
"420"  0.61  0.13  0.26
"421"  0.92  0.05  0.03
"422"  0.35  0.15  0.5
"423"  0.14  0  0.86
"424"  0.07  0.2  0.73
"425"  0.48  0  0.52
"426"  0.53  0.47  0
"427"  0.63  0.14  0.23
"428"  0.44  0.26  0.3
"429"  0.37  0  0.63
"430"  0.7  0.18  0.13
"431"  0.27  0  0.73
"432"  0.14  0.37  0.48
"433"  0.38  0.4  0.22
"434"  0.24  0.47  0.3
"435"  0.56  0.22  0.22
"436"  0.06  0.25  0.69
"437"  0.39  0.35  0.26
"438"  0.11  0.53  0.37
"439"  0.8  0.06  0.15
"440"  0.2  0.4  0.4
"441"  0.24  0.24  0.52
"442"  0.02  0.21  0.77
"443"  0.29  0.17  0.53
"444"  0.5  0.07  0.43
"445"  0.39  0.47  0.14
